SKU,Name,DisplayName,Description,Type,Thickness,ProductType,FranchisePrice,RetailPrice,UOM,TypeCode,ColorCode,ProfileCode,VendorName,VendorItemNum
PM-0028-0000693,Arizona Cypress 3/4,Arizona Cypress,Arizona Cypress 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880001,0,STEVENS,0
PM-0028-0000694,Arizona Cypress250 1/4,Arizona Cypress,Arizona Cypress250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880001,0,STEVENS,0
EB-0028-0000460,Arizona Cypress,Arizona Cypress,EB Arizona Cypress 1mm,2,0.039,EB,0.38,0.38,LF,1037,880001,120,EDGEBANDING SERVICES,0
PM-0028-0000660,Cannella Rustik 3/4,Cannella Rustik,Cannella Rustik 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880002,0,STEVENS,0
PM-0028-0000695,Cannella Rustik250 1/4,Cannella Rustik,Cannella Rustik250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880002,0,STEVENS,0
EB-0028-0000427,Cannella Rustik,Cannella Rustik,EB Cannella Rustik 1mm,2,0.039,EB,0.38,0.38,LF,1037,880002,120,EDGEBANDING SERVICES,0
PM-0028-0000661,Carmelo Mist 3/4,Carmelo Mist,Carmelo Mist 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880003,0,STEVENS,0
PM-0028-0000696,Carmelo Mist250 1/4,Carmelo Mist,Carmelo Mist250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880003,0,STEVENS,0
EB-0028-0000428,Carmelo Mist,Carmelo Mist,EB Carmelo Mist 1mm,2,0.039,EB,0.38,0.38,LF,1037,880003,120,EDGEBANDING SERVICES,0
PM-0028-0000662,Dahat Teak 3/4,Dahat Teak,Dahat Teak 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880004,0,STEVENS,0
PM-0028-0000697,Dahat Teak250 1/4,Dahat Teak,Dahat Teak250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880004,0,STEVENS,0
EB-0028-0000429,Dahat Teak,Dahat Teak,EB Dahat Teak 1mm,2,0.039,EB,0.38,0.38,LF,1037,880004,120,EDGEBANDING SERVICES,0
PM-0028-0000663,Dark Elm 3/4,Dark Elm,Dark Elm 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880005,0,STEVENS,0
PM-0028-0000698,Dark Elm250 1/4,Dark Elm,Dark Elm250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880005,0,STEVENS,0
EB-0028-0000430,Dark Elm,Dark Elm,EB Dark Elm 1mm,2,0.039,EB,0.38,0.38,LF,1037,880005,120,EDGEBANDING SERVICES,0
PM-0028-0000664,Dark Noce 3/4,Dark Noce,Dark Noce 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880006,0,STEVENS,0
PM-0028-0000699,Dark Noce250 1/4,Dark Noce,Dark Noce250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880006,0,STEVENS,0
EB-0028-0000431,Dark Noce,Dark Noce,EB Dark Noce 1mm,2,0.039,EB,0.38,0.38,LF,1037,880006,120,EDGEBANDING SERVICES,0
PM-0028-0000665,Drift Loud 3/4,Drift Loud,Drift Loud 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880007,0,STEVENS,0
PM-0028-0000700,Drift Loud250 1/4,Drift Loud,Drift Loud250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880007,0,STEVENS,0
EB-0028-0000432,Drift Loud,Drift Loud,EB Drift Loud 1mm,2,0.039,EB,0.38,0.38,LF,1037,880007,120,EDGEBANDING SERVICES,0
PM-0028-0000666,Ebony 3/4,Ebony,Ebony 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880008,0,STEVENS,0
PM-0028-0000701,Ebony250 1/4,Ebony,Ebony250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880008,0,STEVENS,0
EB-0028-0000433,Ebony,Ebony,EB Ebony 1mm,2,0.039,EB,0.38,0.38,LF,1037,880008,120,EDGEBANDING SERVICES,0
PM-0028-0000667,Gregio Notte 3/4,Gregio Notte,Gregio Notte 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880009,0,STEVENS,0
PM-0028-0000702,Gregio Notte250 1/4,Gregio Notte,Gregio Notte250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880009,0,STEVENS,0
EB-0028-0000434,Gregio Notte,Gregio Notte,EB Gregio Notte 1mm,2,0.039,EB,0.38,0.38,LF,1037,880009,120,EDGEBANDING SERVICES,0
PM-0028-0000668,Gregio Pine 3/4,Gregio Pine,Gregio Pine 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880010,0,STEVENS,0
PM-0028-0000703,Gregio Pine250 1/4,Gregio Pine,Gregio Pine250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880010,0,STEVENS,0
EB-0028-0000435,Gregio Pine,Gregio Pine,EB Gregio Pine 1mm,2,0.039,EB,0.38,0.38,LF,1037,880010,120,EDGEBANDING SERVICES,0
PM-0028-0000669,Grey Echo 3/4,Grey Echo,Grey Echo 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880011,0,STEVENS,0
PM-0028-0000704,Grey Echo250 1/4,Grey Echo,Grey Echo250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880011,0,STEVENS,0
EB-0028-0000436,Grey Echo,Grey Echo,EB Grey Echo 1mm,2,0.039,EB,0.38,0.38,LF,1037,880011,120,EDGEBANDING SERVICES,0
PM-0028-0000670,Midnight Echo 3/4,Midnight Echo,Midnight Echo 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880012,0,STEVENS,0
PM-0028-0000705,Midnight Echo250 1/4,Midnight Echo,Midnight Echo250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880012,0,STEVENS,0
EB-0028-0000437,Midnight Echo,Midnight Echo,EB Midnight Echo 1mm,2,0.039,EB,0.38,0.38,LF,1037,880012,120,EDGEBANDING SERVICES,0
PM-0028-0000671,Richmond Cherry 3/4,Richmond Cherry,Richmond Cherry 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880013,0,STEVENS,0
PM-0028-0000706,Richmond Cherry250 1/4,Richmond Cherry,Richmond Cherry250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880013,0,STEVENS,0
EB-0028-0000438,Richmond Cherry,Richmond Cherry,Richmond Cherry,2,0.039,EB,0.38,0.38,LF,1037,880013,120,EDGEBANDING SERVICES,0
PM-0028-0000672,Drift Loud 3/4,Drift Loud,Drift Loud 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880014,0,STEVENS,0
PM-0028-0000707,Drift Loud250 1/4,Drift Loud,Drift Loud250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880014,0,STEVENS,0
EB-0028-0000439,Drift Loud,Drift Loud,Drift Loud,2,0.039,EB,0.38,0.38,LF,1037,880014,120,EDGEBANDING SERVICES,0
PM-0028-0000673,Takase Teak 3/4,Takase Teak,Takase Teak250 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880015,0,STEVENS,0
PM-0028-0000709,Takase Teak250 1/4,Takase Teak,Takase Teak250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880015,0,STEVENS,0
EB-0028-0000440,Takase Teak,Takase Teak,Takase Teak,2,0.039,EB,0.38,0.38,LF,1037,880015,120,EDGEBANDING SERVICES,0
PM-0028-0000674,White Zebrine 3/4,White Zebrine,White Zebrine 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880016,0,STEVENS,0
PM-0028-0000710,White Zebrine250 1/4,White Zebrine,White Zebrine250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880016,0,STEVENS,0
EB-0028-0000441,White Zebrine,White Zebrine,White Zebrine,2,0.039,EB,0.38,0.38,LF,1037,880016,120,EDGEBANDING SERVICES,0
PM-0028-0000675,Black 3/4,Black250,Black 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880017,0,STEVENS,0
PM-0028-0000711,Black250 1/4,Black250,Black250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880017,0,STEVENS,0
EB-0028-0000442,Black,Black250,Black250,2,0.039,EB,0.38,0.38,LF,1037,880017,120,EDGEBANDING SERVICES,0
PM-0028-0000676,Morning Fog 3/4,Morning Fog,Morning Fog 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880018,0,STEVENS,0
PM-0028-0000712,Morning Fog250 1/4,Morning Fog,Morning Fog250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880018,0,STEVENS,0
EB-0028-0000443,Morning Fog,Morning Fog,Morning Fog,2,0.039,EB,0.38,0.38,LF,1037,880018,120,EDGEBANDING SERVICES,0
PM-0028-0000677,Pearl White 3/4,Pearl White,Pearl White 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880019,0,STEVENS,0
PM-0028-0000713,Pearl White250 1/4,Pearl White,Pearl White250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880019,0,STEVENS,0
EB-0028-0000444,Pearl White,Pearl White,Pearl White,2,0.039,EB,0.38,0.38,LF,1037,880019,120,EDGEBANDING SERVICES,0
PM-0028-0000678,Serotina 3/4,Serotina,Serotina 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880020,0,STEVENS,0
PM-0028-0000714,Serotina250 1/4,Serotina,Serotina250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880020,0,STEVENS,0
EB-0028-0000445,Serotina,Serotina,Serotina,2,0.039,EB,0.38,0.38,LF,1037,880020,120,EDGEBANDING SERVICES,0
PM-0028-0000679,Jasper 3/4,Jasper,Jasper 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880021,0,STEVENS,0
PM-0028-0000715,Jasper250 1/4,Jasper,Jasper250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880021,0,STEVENS,0
EB-0028-0000446,Jasper,Jasper,Jasper,2,0.039,EB,0.38,0.38,LF,1037,880021,120,EDGEBANDING SERVICES,0
PM-0028-0000680,Kirsche 3/4,Kirsche,Kirsche 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880022,0,STEVENS,0
PM-0028-0000716,Kirsche250 1/4,Kirsche,Kirsche250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880022,0,STEVENS,0
EB-0028-0000447,Kirsche,Kirsche,Kirsche,2,0.039,EB,0.38,0.38,LF,1037,880022,120,EDGEBANDING SERVICES,0
PM-0028-0000681,Sabbia 3/4,Sabbia,Sabbia 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880023,0,STEVENS,0
PM-0028-0000717,Sabbia250 1/4,Sabbia,Sabbia250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880023,0,STEVENS,0
EB-0028-0000448,Sabbia,Sabbia,Sabbia,2,0.039,EB,0.38,0.38,LF,1037,880023,120,EDGEBANDING SERVICES,0
PM-0028-0000682,Aliso 3/4,Aliso,Aliso 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880024,0,STEVENS,0
PM-0028-0000718,Aliso250 1/4,Aliso,Aliso250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880024,0,STEVENS,0
EB-0028-0000449,Aliso,Aliso,Aliso,2,0.039,EB,0.38,0.38,LF,1037,880024,120,EDGEBANDING SERVICES,0
PM-0028-0000683,Ontano 3/4,Ontano,Ontano 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880025,0,STEVENS,0
PM-0028-0000719,Ontano250 1/4,Ontano,Ontano250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880025,0,STEVENS,0
EB-0028-0000450,Ontano,Ontano,Ontano,2,0.039,EB,0.38,0.38,LF,1037,880025,120,EDGEBANDING SERVICES,0
PM-0028-0000684,Alno 3/4,Alno,Alno 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880026,0,STEVENS,0
PM-0028-0000720,Alno250 1/4,Alno,Alno250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880026,0,STEVENS,0
EB-0028-0000451,Alno,Alno,Alno,2,0.039,EB,0.38,0.38,LF,1037,880026,120,EDGEBANDING SERVICES,0
PM-0028-0000685,Siberian 3/4,Siberian,Siberian 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880027,0,STEVENS,0
PM-0028-0000721,Siberian250 1/4,Siberian,Siberian250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880027,0,STEVENS,0
EB-0028-0000452,Siberian,Siberian,Siberian,2,0.039,EB,0.38,0.38,LF,1037,880027,120,EDGEBANDING SERVICES,0
PM-0028-0000686,Kyushu 3/4,Kyushu,Kyushu 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880028,0,STEVENS,0
PM-0028-0000722,Kyushu250 1/4,Kyushu,Kyushu250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880028,0,STEVENS,0
EB-0028-0000453,Kyushu,Kyushu,Kyushu,2,0.039,EB,0.38,0.38,LF,1037,880028,120,EDGEBANDING SERVICES,0
PM-0028-0000687,Formosa 3/4,Formosa,Formosa 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880029,0,STEVENS,0
PM-0028-0000723,Formosa250 1/4,Formosa,Formosa250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880029,0,STEVENS,0
EB-0028-0000454,Formosa,Formosa,Formosa,2,0.039,EB,0.38,0.38,LF,1037,880029,120,EDGEBANDING SERVICES,0
PM-0028-0000688,Allaria 3/4,Allaria,Allaria 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880030,0,STEVENS,0
PM-0028-0000724,Allaria250 1/4,Allaria,Allaria250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880030,0,STEVENS,0
EB-0028-0000455,Allaria,Allaria,Allaria,2,0.039,EB,0.38,0.38,LF,1037,880030,120,EDGEBANDING SERVICES,0
PM-0028-0000689,Laurel 3/4,Laurel,Laurel 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880031,0,STEVENS,0
PM-0028-0000725,Laurel250 1/4,Laurel,Laurel250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880031,0,STEVENS,0
EB-0028-0000456,Laurel,Laurel,Laurel,2,0.039,EB,0.38,0.38,LF,1037,880031,120,EDGEBANDING SERVICES,0
PM-0028-0000690,Coastal 3/4,Coastal,Coastal 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880032,0,STEVENS,0
PM-0028-0000726,Coastal250 1/4,Coastal,Coastal250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880032,0,STEVENS,0
EB-0028-0000457,Coastal,Coastal,Coastal,2,0.039,EB,0.38,0.38,LF,1037,880032,120,EDGEBANDING SERVICES,0
PM-0028-0000691,Natural Marrone 3/4,Natural Marrone,Natural Marrone 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880033,0,STEVENS,0
PM-0028-0000727,Natural Marrone250 1/4,Natural Marrone,Natural Marrone250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880033,0,STEVENS,0
EB-0028-0000458,Natural Marrone,Natural Marrone,Natural Marrone,2,0.039,EB,0.38,0.38,LF,1037,880033,120,EDGEBANDING SERVICES,0
PM-0028-0000692,White Nebbia 3/4,White Nebbia,White Nebbia 3/4,2,0.75,PM,3.49813,17.76,SF,15200,880034,0,STEVENS,0
PM-0028-0000728,White Nebbia250 1/4,White Nebbia,White Nebbia250 1/4,2,0.25,PM,3.49813,17.76,SF,20100,880034,0,STEVENS,0
EB-0028-0000459,White Nebbia,White Nebbia,White Nebbia,2,0.039,EB,0.38,0.38,LF,1037,880034,120,EDGEBANDING SERVICES,0
